"","X1","X1_2","X1_1","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld"
"232",232,232,232,"France","January - June 2018",3,313,0,55,160,0,55,133,3.99
"233",233,233,233,"Georgia","January - June 2018",0,0,0,0,0,0,0,0,0
"234",234,234,234,"Germany","January - June 2018",12,54,0,66,8,0,66,33,3.96
"235",235,235,235,"Greece","January - June 2018",0,1,0,0,1,0,0,1,0
"236",236,236,236,"Haiti","January - June 2018",0,0,0,0,0,0,0,0,0
"237",237,237,237,"Hong Kong","January - June 2018",0,0,0,0,0,0,0,0,0
"238",238,238,238,"India","January - June 2018",5,1694,19,498,142,0,517,246,12.3
"239",239,239,239,"Indonesia","January - June 2018",0,1683,0,0,522,0,0,189,0
"240",240,240,240,"Iraq","January - June 2018",0,0,0,0,0,0,0,0,0
"241",241,241,241,"Ireland","January - June 2018",27,60,0,51,3,0,51,11,2.97
"242",242,242,242,"Israel","January - June 2018",33,42,22,0,11,0,22,3,0.99
"243",243,243,243,"Italy","January - June 2018",0,6,0,0,3,0,0,6,0
"244",244,244,244,"Japan","January - June 2018",6,1101,2,82,482,0,84,196,11.76
"245",245,245,245,"Kazakhstan","January - June 2018",0,6,0,0,1,0,0,2,0
"246",246,246,246,"Kenya","January - June 2018",0,0,0,0,0,0,0,0,0
"247",247,247,247,"Kuwait","January - June 2018",0,3,0,0,1,0,0,3,0
"248",248,248,248,"Lebanon","January - June 2018",0,3,0,0,0,0,0,3,0
"249",249,249,249,"Luxembourg","January - June 2018",0,0,0,0,0,0,0,0,0
"250",250,250,250,"Malaysia","January - June 2018",0,29,0,0,20,0,0,12,0
"251",251,251,251,"Maldives","January - June 2018",0,0,0,0,0,0,0,0,0
"252",252,252,252,"Mexico","January - June 2018",0,4,0,0,1,0,0,2,0
"253",253,253,253,"Mongolia","January - June 2018",0,0,0,0,0,0,0,0,0
"254",254,254,254,"Nepal","January - June 2018",0,0,0,0,0,0,0,0,0
"255",255,255,255,"Netherlands","January - June 2018",0,4,0,4,3,0,4,3,0
"256",256,256,256,"New Zealand","January - June 2018",0,0,0,0,0,0,0,0,0
"257",257,257,257,"Norway","January - June 2018",0,0,0,0,0,0,0,0,0
"258",258,258,258,"Oman","January - June 2018",0,35,0,0,8,0,0,3,0
"259",259,259,259,"Pakistan","January - June 2018",0,3004,0,0,141,0,0,243,0
"260",260,260,260,"Panama","January - June 2018",0,4,0,0,0,0,0,4,0
"261",261,261,261,"Paraguay","January - June 2018",0,0,0,0,0,0,0,0,0
"262",262,262,262,"Philippines","January - June 2018",0,0,0,0,0,0,0,0,0
"263",263,263,263,"Poland","January - June 2018",0,14,0,0,2,0,0,3,0
"264",264,264,264,"Portugal","January - June 2018",0,0,0,0,0,0,0,0,0
"265",265,265,265,"Qatar","January - June 2018",0,0,0,0,0,0,0,0,0
"266",266,266,266,"Russian Federation","January - June 2018",27,2053,59,357,764,0,416,1641,443.07
"267",267,267,267,"Saudi Arabia","January - June 2018",0,9,0,0,4,0,0,8,0
"268",268,268,268,"Serbia","January - June 2018",0,0,0,0,0,0,0,0,0
"269",269,269,269,"Singapore","January - June 2018",0,1,0,0,0,0,0,2,0
"270",270,270,270,"South Africa","January - June 2018",0,0,0,0,0,0,0,0,0
"271",271,271,271,"South Korea","January - June 2018",1,1019,0,2,889,0,2,143,1.43
"272",272,272,272,"Spain","January - June 2018",0,10,0,0,0,0,0,10,0
"273",273,273,273,"Sri Lanka","January - June 2018",0,0,0,0,0,0,0,0,0
"274",274,274,274,"Sweden","January - June 2018",0,0,0,0,0,0,0,0,0
"275",275,275,275,"Switzerland","January - June 2018",0,0,0,0,0,0,0,0,0
"276",276,276,276,"Thailand","January - June 2018",0,0,0,0,0,0,0,0,0
"277",277,277,277,"Turkey","January - June 2018",18,13843,425,1464,2560,0,1889,8988,1617.84
"278",278,278,278,"Ukraine","January - June 2018",0,0,0,0,0,0,0,0,0
"279",279,279,279,"United Arab Emirates","January - June 2018",0,2209,0,0,1828,0,0,111,0
"280",280,280,280,"United Kingdom","January - June 2018",8,249,0,15,48,0,15,66,5.28
"281",281,281,281,"United States","January - June 2018",0,228,0,0,173,0,0,99,0
"282",282,282,282,"Uruguay","January - June 2018",0,0,0,0,0,0,0,0,0
"283",283,283,283,"Uzbekistan","January - June 2018",0,0,0,0,0,0,0,0,0
"284",284,284,284,"Venezuela","January - June 2018",0,0,0,0,0,0,0,0,0
"285",285,285,285,"Afghanistan","January - June 2019",0,0,0,0,0,0,0,0,0
"286",286,286,286,"Albania","January - June 2019",0,1,0,0,1,0,0,0,0
"287",287,287,287,"Argentina","January - June 2019",0,1,0,0,0,0,0,0,0
"288",288,288,288,"Australia","January - June 2019",0,5,0,0,1,0,0,1,0
"289",289,289,289,"Austria","January - June 2019",0,3,0,0,1,0,0,0,0
"290",290,290,290,"Azerbaijan","January - June 2019",0,2,0,0,1,0,0,0,0
"291",291,291,291,"Bahrain","January - June 2019",0,0,0,0,0,0,0,0,0
"292",292,292,292,"Belarus","January - June 2019",0,0,0,0,0,0,0,0,0
"293",293,293,293,"Belgium","January - June 2019",0,0,0,0,0,0,0,0,0
"294",294,294,294,"Bosnia and Herzegovina","January - June 2019",0,0,0,0,0,0,0,0,0
"295",295,295,295,"Brazil","January - June 2019",19,293,3,58,14,0,61,46,8.74
"296",296,296,296,"Bulgaria","January - June 2019",0,0,0,0,0,0,0,0,0
"297",297,297,297,"Canada","January - June 2019",8,56,0,0,17,0,0,0,0
"298",298,298,298,"Chile","January - June 2019",0,0,0,0,0,0,0,0,0
"299",299,299,299,"Colombia","January - June 2019",0,8,0,0,4,0,0,0,0
"300",300,300,300,"Croatia","January - June 2019",0,0,0,0,0,0,0,0,0
"301",301,301,301,"Cyprus","January - June 2019",0,0,0,0,0,0,0,0,0
"302",302,302,302,"Czech Republic","January - June 2019",0,0,0,0,0,0,0,0,0
"303",303,303,303,"Denmark","January - June 2019",0,1,0,0,1,0,0,0,0
"304",304,304,304,"Dominican Republic","January - June 2019",0,2,0,0,0,0,0,0,0
"305",305,305,305,"Ecuador","January - June 2019",0,0,0,0,0,0,0,0,0
"306",306,306,306,"Egypt","January - June 2019",0,0,0,0,0,0,0,0,0
"307",307,307,307,"Estonia","January - June 2019",0,0,0,0,0,0,0,0,0
"308",308,308,308,"Finland","January - June 2019",0,0,0,0,0,0,0,0,0
"309",309,309,309,"France","January - June 2019",9,408,1,35,157,0,36,5,0.45
"310",310,310,310,"Georgia","January - June 2019",0,0,0,0,0,0,0,0,0
"311",311,311,311,"Germany","January - June 2019",32,74,2,83,7,0,85,2,0.64
"312",312,312,312,"Greece","January - June 2019",0,6,0,0,4,0,0,1,0
"313",313,313,313,"Haiti","January - June 2019",0,0,0,0,0,0,0,0,0
"314",314,314,314,"Hong Kong","January - June 2019",0,0,0,0,0,0,0,0,0
"315",315,315,315,"India","January - June 2019",6,2484,73,241,578,0,314,8,0.48
"316",316,316,316,"Indonesia","January - June 2019",0,17003,0,0,2345,0,0,0,0
"317",317,317,317,"Iran","January - June 2019",0,4,0,0,2,0,0,0,0
"318",318,318,318,"Iraq","January - June 2019",0,1,0,0,0,0,0,0,0
