country,year,sum_percentage_where_content_withheld_yr,gdp,sum_total_requests_made_yr
Germany,2016,35.1,3466790065011.83,299
Greece,2016,0,195222443512.937,4
Haiti,2016,0,7970649131.23416,1
Hong Kong,2016,0,320860698504.309,0
India,2016,0,2290432075123.75,140
Indonesia,2016,0,931877364177.742,206
Iraq,2016,0,174878976033.941,0
Ireland,2016,14.71,300523297712.96,14
Israel,2016,15.69,318950599017.506,13
Italy,2016,0,1875579883543.09,6
Japan,2016,5.1,4926667087367.51,149
Kazakhstan,2016,0,137278320084.171,4
Kenya,2016,0,69188755511.0911,0
Kuwait,2016,0,109420059582.92,9
Lebanon,2016,0,51239050082.9187,2
Luxembourg,2016,0,60691483443.1221,1
Malaysia,2016,0,301255454041.415,4
Maldives,2016,0,4379136461.83077,1
Mexico,2016,0,1077903618176.07,5
Mongolia,2016,0,11186734674.3847,1
Netherlands,2016,33,783528181704.567,9
New Zealand,2016,0,187854022728.459,5
Norway,2016,0,368827142857.143,1
Pakistan,2016,0,278654637737.69,22
Philippines,2016,0,304897590205.413,5
Portugal,2016,0,206286022781.894,1
Russian Federation,2016,15.93,1282723881134.01,2123
Saudi Arabia,2016,0,644935541440,1
Serbia,2016,0,40630392018.541,1
Singapore,2016,0,318068476293.883,2
South Africa,2016,0,296357282715.109,2
South Korea,2016,0,1414804158515.26,73
Spain,2016,2.94,1232076017361.53,34
Sweden,2016,0,515744370225.386,2
Switzerland,2016,0,671308872735.114,1
Thailand,2016,0,412352789519.611,3
Turkey,2016,20.79,863721648068.806,5569
United Arab Emirates,2016,0,357045064669.843,9
United Kingdom,2016,3.82,2694283209613.29,240
United States,2016,0,18707188235000,202
Uzbekistan,2016,0,81779012350.8833,2
Afghanistan,2017,0,20191764940.1602,0
Argentina,2017,0,642695864756.35,9
Australia,2017,27.55,1330135756844.41,11
Austria,2017,0,417282900758.043,1
Azerbaijan,2017,0,40865558912.3867,0
Bahrain,2017,0,35432686170.2128,2
Belarus,2017,0,54726595249.1849,0
Belgium,2017,0,503004504395.429,6
Bosnia and Herzegovina,2017,0,18080118128.3854,0
Brazil,2017,13.34,2053594973992.61,76
Canada,2017,0,1646867220617.47,18
Chile,2017,0,277746461078.319,1
Colombia,2017,0,311789874617.096,5
Croatia,2017,0,55319620157.6135,1
Cyprus,2017,0,22638608224.1301,0
Czech Republic,2017,0,215913545038.43,0
Dominican Republic,2017,0,79998045976.4898,2
Ecuador,2017,0,104295862000,7
Egypt,2017,0,235369129337.711,0
Estonia,2017,0,26792757827.3154,0
Finland,2017,0,254435041879.238,3
France,2017,12.34,2586285406561.51,1121
Georgia,2017,0,16242956764.2957,0
Germany,2017,23.89,3656749414477.08,476
Greece,2017,0,203085551429.132,3
Haiti,2017,0,8409497402.4589,0
Hong Kong,2017,0,341687111841.092,2
India,2017,1.74,2652242857923.91,248
Indonesia,2017,0,1015423455783.28,122
Iraq,2017,0,195473049875.108,1
Ireland,2017,0,334834010485.56,17
Israel,2017,0,353253406954.97,7
Italy,2017,0,1956960611690.59,14
Japan,2017,5.94,4859950558538.97,268
Kazakhstan,2017,0,166805800595.704,0
Kenya,2017,0,78757391333.0219,1
Kuwait,2017,0,120707550280.251,11
Lebanon,2017,0,53393799668.325,0
Luxembourg,2017,0,64023412339.7075,1
Malaysia,2017,0,318958236443.122,15
Maldives,2017,0,4735989972.05433,1
Mexico,2017,0,1157736189998.15,13
Mongolia,2017,0,11425755279.5395,0
Nepal,2017,0,25180583769.9244,8
Netherlands,2017,20.2,831809944960.879,15
New Zealand,2017,0,202590814084.991,0
Norway,2017,0,398393955268.99,0
Pakistan,2017,0,304567253219.097,99
Paraguay,2017,0,39008900331.6733,1
Philippines,2017,0,313619747740.186,1
Poland,2017,0,526216495118.144,6
Portugal,2017,0,220811110492.149,1
Qatar,2017,0,166928571428.571,2
Russian Federation,2017,52.94,1578624060588.26,2505
Saudi Arabia,2017,0,688586133333.333,7
Serbia,2017,0,44120424391.86,0
Singapore,2017,0,338406474038.67,0
South Africa,2017,0,349554116683.818,0
South Korea,2017,0,1530750923148.7,178
Spain,2017,3.19,1309309642308.24,32
Sri Lanka,2017,0,88019706803.834,1
Sweden,2017,0,540545236387.733,1
Switzerland,2017,0,679950915261.122,2
Thailand,2017,0,455275517239.347,1
Turkey,2017,6.1,852676778300.885,7004
Ukraine,2017,0,112190355158.178,1
United Arab Emirates,2017,0,377701060177.47,29
United Kingdom,2017,13.81,2666229179958.01,160
United States,2017,0,19485393853000,211
Uruguay,2017,0,56488991831.0239,6
Uzbekistan,2017,0,59159945320.5667,0
Afghanistan,2018,0,19362969582.3643,0
Argentina,2018,5.5,519871519807.795,12
Australia,2018,27.25,1433904348500.12,8
Austria,2018,0,455285818035.125,1
Azerbaijan,2018,0,46939529411.7647,1
Bahrain,2018,0,37746196808.5106,2
Belarus,2018,0,59662495092.2654,0
Belgium,2018,0,542761092103.469,0
Bosnia and Herzegovina,2018,0,20161865419.4327,0
Brazil,2018,26.49,1868626087908.48,134
Bulgaria,2018,0,65132951116.4756,0
Canada,2018,0,1713341704877.01,8
Chile,2018,0,298231133532.749,0
Colombia,2018,0,331047040087.878,2
Croatia,2018,0,60971699315.1776,0
Cyprus,2018,0,24961988663.2026,0
Czech Republic,2018,0,245225882903.37,0
Denmark,2018,0,355675329085.952,0
Dominican Republic,2018,0,85555390387.0355,3
Ecuador,2018,0,108398058000,4
Egypt,2018,0,250894760351.232,0
Estonia,2018,0,30732144528.9795,0
Finland,2018,0,276743120515.764,0
France,2018,3,2777535239277.98,133
Georgia,2018,0,17599660629.0202,0
Germany,2018,12,3947620162502.96,36
